26421739	<Author><Name>Cámara B</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Suzuki S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Nealson KH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wierzchos J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ascaso C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Artieda O</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>de Los Ríos A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Ignimbrite textural properties as determinants of endolithic colonization patterns from hyper-arid Atacama Desert.	Int Microbiol	2014 Sep
26414525	<Author><Name>Preston LJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Johnson D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cockell CS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Grady MM</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Fourier Transform Infrared Spectral Detection of Life in Polar Subsurface Environments and Its Application to Mars Exploration.	Appl Spectrosc	2015 Sep
26412812	<Author><Name>Jones R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Rocks and Hard Places.	Br J Gen Pract	2015 Oct
26406539	<Author><Name>Storme JY</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Golubic S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wilmotte A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Kleinteich J</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Velázquez D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Javaux EJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Raman Characterization of the UV-Protective Pigment Gloeocapsin and Its Role in the Survival of Cyanobacteria.	Astrobiology	2015 Sep 25
26402731	<Author><Name>Elsayed SS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Trusch F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Deng H</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Raab A</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Prokes I</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Busarakam K</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Asenjo JA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Andrews BA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>van West P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bull AT</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Goodfellow M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Yi Y</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ebel R</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Jaspars M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rateb ME</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Chaxapeptin, a Lasso Peptide from Extremotolerant Streptomyces leeuwenhoekii Strain C58 from the Hyperarid Atacama Desert.	J Org Chem	2015 Sep 24
26400492	<Author><Name>Santiago IF</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Soares MA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rosa CA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Rosa LH</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Lichensphere: a protected natural microhabitat of the non-lichenised fungal communities living in extreme environments of Antarctica.	Extremophiles	2015 Sep 23
26393796	<Author><Name>Wu SD</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Lin L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Li HL</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Yu SX</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Zhang LJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wang W</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Evolution of Asian Interior Arid-Zone Biota: Evidence from the Diversification of Asian Zygophyllum (Zygophyllaceae).	PLoS One	2015
26388839	<Author><Name>Ronca S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Ramond JB</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Jones BE</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Seely M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cowan DA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Namib Desert dune/interdune transects exhibit habitat-specific edaphic bacterial communities.	Front Microbiol	2015
26373974	<Author><Name>Larridon I</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Walter HE</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Guerrero PC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Duarte M</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Cisternas MA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hernández CP</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Bauters K</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Asselman P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Goetghebeur P</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Samain MS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	An integrative approach to understanding the evolution and diversity of Copiapoa (Cactaceae), a threatened endemic Chilean genus from the Atacama Desert.	Am J Bot	2015 Sep
26346782	<Author><Name>Wiens JJ</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Faster diversification on land than sea helps explain global biodiversity patterns among habitats and animal phyla.	Ecol Lett	2015 Sep 8
26345378	<Author><Name>Ceruti MC</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Frozen Mummies from Andean Mountaintop Shrines: Bioarchaeology and Ethnohistory of Inca Human Sacrifice.	Biomed Res Int	2015
26333162	<Author><Name>Sheridan SG</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gregoricka LA</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Monks on the move: Evaluating pilgrimage to byzantine St. Stephen's monastery using strontium isotopes.	Am J Phys Anthropol	2015 Sep 2
26318686	<Author><Name>Lan S</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Wu L</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Zhang D</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Hu C</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Analysis of environmental factors determining development and succession in biological soil crusts.	Sci Total Environ	2015 Aug 26
26316328	<Author><Name>Mekki-Azouzi ME</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Tripathi CS</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Pallares G</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Gardien V</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author><Author><Name>Caupin F</Name><AuthType>Author</AuthType><ClusterID></ClusterID></Author>	Brillouin spectroscopy of fluid inclusions proposed as a paleothermometer for subsurface rocks.	Sci Rep	2015 Aug 28
